outer_fold,model,candidate,parameters,inner_fold,validation_ap,iterations,nonzero_features,violations
2,L2,1,"{""lambda"": 0.01}",1,0.3875757575757576,32,21,
2,L2,1,"{""lambda"": 0.01}",2,0.8,34,21,
2,L2,1,"{""lambda"": 0.01}",3,0.6433333333333333,33,21,
2,L2,1,"{""lambda"": 0.01}",4,0.6944444444444444,33,21,
2,L2,1,"{""lambda"": 0.01}",5,0.7833333333333332,34,21,
2,L2,2,"{""lambda"": 0.1}",1,0.4509090909090909,16,21,
2,L2,2,"{""lambda"": 0.1}",2,0.7753968253968253,16,21,
2,L2,2,"{""lambda"": 0.1}",3,0.6166666666666666,17,21,
2,L2,2,"{""lambda"": 0.1}",4,0.7611111111111111,16,21,
2,L2,2,"{""lambda"": 0.1}",5,0.8444444444444443,17,21,
2,L2,3,"{""lambda"": 1.0}",1,0.5242424242424242,12,21,
2,L2,3,"{""lambda"": 1.0}",2,0.7783333333333333,11,21,
2,L2,3,"{""lambda"": 1.0}",3,0.6544444444444445,11,21,
2,L2,3,"{""lambda"": 1.0}",4,0.7753968253968253,11,21,
2,L2,3,"{""lambda"": 1.0}",5,0.8599999999999999,11,21,
2,L2,4,"{""lambda"": 10.0}",1,0.6542424242424243,10,21,
2,L2,4,"{""lambda"": 10.0}",2,0.7592857142857143,10,21,
2,L2,4,"{""lambda"": 10.0}",3,0.6683333333333333,10,21,
2,L2,4,"{""lambda"": 10.0}",4,0.7944444444444445,10,21,
2,L2,4,"{""lambda"": 10.0}",5,0.8599999999999999,10,21,
2,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",1,0.48757575757575755,4598,21,
2,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",2,0.7888888888888888,2919,21,
2,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",3,0.6476190476190475,2266,21,
2,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",4,0.7087301587301587,3111,21,
2,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",5,0.6166666666666666,4071,21,
2,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",1,0.3947186147186147,6006,20,
2,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",2,0.7888888888888888,3783,21,
2,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",3,0.6385281385281385,2531,21,
2,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",4,0.5944444444444444,4045,21,
2,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",5,0.6166666666666666,5816,21,
2,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",1,0.4042424242424242,11565,19,
2,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",2,0.7888888888888888,4879,20,
2,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",3,0.6385281385281385,3043,21,
2,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",4,0.5944444444444444,4502,20,
2,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",5,0.6166666666666666,13919,21,
2,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",1,0.3875757575757576,724,21,
2,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",2,0.8,535,20,
2,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",3,0.6433333333333333,586,21,
2,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",4,0.6944444444444444,563,20,
2,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",5,0.7833333333333332,599,19,
2,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",1,0.3875757575757576,842,19,
2,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",2,0.8,610,17,
2,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",3,0.6342424242424243,722,19,
2,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",4,0.6944444444444444,785,17,
2,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",5,0.7833333333333332,787,18,
2,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",1,0.3875757575757576,1446,18,
