repeat,seed,outer_fold,model,n_train,n_test,test_positives,prevalence,pr_auc_ap,best_inner_ap,candidate,parameters,iterations,nonzero_features,violating_features,max_violation,l2,soft_penalty,violations
7,6042,4,L2,57,14,6,0.42857142857142855,0.7634920634920634,0.7088253968253968,2,"{""l2"": 0.1}",17,21,,,0.1,,
7,6042,5,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.7027777777777778,0.7173549783549784,18,"{""l2"": 1.0, ""soft_penalty"": 0.0}",11,21,2.0,0.03641250526628497,1.0,0.0,
7,6042,5,Monotonic + L2,57,14,6,0.42857142857142855,0.7166666666666667,0.7169033189033188,4,"{""l2"": 10.0}",10,19,0.0,0.0,10.0,,0.0
7,6042,5,L2,57,14,6,0.42857142857142855,0.7027777777777778,0.7173549783549784,3,"{""l2"": 1.0}",11,21,,,1.0,,
8,7042,1,Soft Monotonic + L2,56,15,7,0.4666666666666667,0.62995337995338,0.7488571428571429,24,"{""l2"": 10.0, ""soft_penalty"": 0.0}",10,21,1.0,0.0025646233590225554,10.0,0.0,
8,7042,1,Monotonic + L2,56,15,7,0.4666666666666667,0.62995337995338,0.7488571428571429,4,"{""l2"": 10.0}",10,20,0.0,0.0,10.0,,0.0
8,7042,1,L2,56,15,7,0.4666666666666667,0.62995337995338,0.7488571428571429,4,"{""l2"": 10.0}",10,21,,,10.0,,
8,7042,2,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.7120370370370369,0.7985714285714284,29,"{""l2"": 10.0, ""soft_penalty"": 10.0}",12,21,2.0,0.0014161947056688167,10.0,10.0,
8,7042,2,Monotonic + L2,57,14,6,0.42857142857142855,0.7120370370370369,0.8119047619047619,4,"{""l2"": 10.0}",10,19,0.0,0.0,10.0,,0.0
8,7042,2,L2,57,14,6,0.42857142857142855,0.7120370370370369,0.7835714285714284,4,"{""l2"": 10.0}",10,21,,,10.0,,
8,7042,3,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.8819444444444444,0.6802611832611832,23,"{""l2"": 1.0, ""soft_penalty"": 10.0}",18,21,2.0,0.0023634554179886263,1.0,10.0,
8,7042,3,Monotonic + L2,57,14,6,0.42857142857142855,0.8819444444444444,0.6860548340548341,3,"{""l2"": 1.0}",12,19,0.0,0.0,1.0,,0.0
8,7042,3,L2,57,14,6,0.42857142857142855,0.8819444444444444,0.6736738816738816,3,"{""l2"": 1.0}",11,21,,,1.0,,
8,7042,4,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.4973544973544974,0.721165945165945,24,"{""l2"": 10.0, ""soft_penalty"": 0.0}",10,21,2.0,0.009183775146109551,10.0,0.0,
8,7042,4,Monotonic + L2,57,14,6,0.42857142857142855,0.46957671957671965,0.7175945165945166,4,"{""l2"": 10.0}",10,19,0.0,0.0,10.0,,0.0
8,7042,4,L2,57,14,6,0.42857142857142855,0.4973544973544974,0.721165945165945,4,"{""l2"": 10.0}",10,21,,,10.0,,
8,7042,5,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.5953703703703704,0.7353722943722942,16,"{""l2"": 0.1, ""soft_penalty"": 1.0}",22,21,4.0,0.044276975474683594,0.1,1.0,
8,7042,5,Monotonic + L2,57,14,6,0.42857142857142855,0.5981842231842233,0.7358253968253968,3,"{""l2"": 1.0}",12,19,0.0,0.0,1.0,,0.0
8,7042,5,L2,57,14,6,0.42857142857142855,0.5906084656084657,0.7315238095238096,3,"{""l2"": 1.0}",11,21,,,1.0,,
9,8042,1,Soft Monotonic + L2,56,15,7,0.4666666666666667,0.8310451453308596,0.6768802308802309,24,"{""l2"": 10.0, ""soft_penalty"": 0.0}",10,21,2.0,0.0022908574433349337,10.0,0.0,
9,8042,1,Monotonic + L2,56,15,7,0.4666666666666667,0.8310451453308596,0.6702135642135643,4,"{""l2"": 10.0}",10,19,0.0,0.0,10.0,,0.0
9,8042,1,L2,56,15,7,0.4666666666666667,0.8310451453308596,0.6768802308802309,4,"{""l2"": 10.0}",10,21,,,10.0,,
