repeat,outer_fold,inner_fold,model,candidate,parameters,validation_ap,iterations,nonzero_features,violating_features,max_violation,l2,soft_penalty,violations
1,1,2,Soft Monotonic + L2,25,"{""l2"": 10.0, ""soft_penalty"": 0.001}",0.5305555555555556,10,21,3.0,0.012711080251250128,10.0,0.001,
1,1,3,Soft Monotonic + L2,25,"{""l2"": 10.0, ""soft_penalty"": 0.001}",0.7611111111111111,10,21,1.0,0.010546948428138586,10.0,0.001,
1,1,4,Soft Monotonic + L2,25,"{""l2"": 10.0, ""soft_penalty"": 0.001}",0.7544444444444445,10,21,3.0,0.00530017082372693,10.0,0.001,
1,1,5,Soft Monotonic + L2,25,"{""l2"": 10.0, ""soft_penalty"": 0.001}",0.7470238095238095,8,21,3.0,0.011154255649813214,10.0,0.001,
1,1,1,Soft Monotonic + L2,26,"{""l2"": 10.0, ""soft_penalty"": 0.01}",0.7295238095238095,10,21,2.0,0.007900177551650154,10.0,0.01,
1,1,2,Soft Monotonic + L2,26,"{""l2"": 10.0, ""soft_penalty"": 0.01}",0.5305555555555556,10,21,3.0,0.012699930138981368,10.0,0.01,
1,1,3,Soft Monotonic + L2,26,"{""l2"": 10.0, ""soft_penalty"": 0.01}",0.7611111111111111,10,21,1.0,0.010537689541281762,10.0,0.01,
1,1,4,Soft Monotonic + L2,26,"{""l2"": 10.0, ""soft_penalty"": 0.01}",0.7544444444444445,10,21,3.0,0.005295543446601543,10.0,0.01,
1,1,5,Soft Monotonic + L2,26,"{""l2"": 10.0, ""soft_penalty"": 0.01}",0.7470238095238095,9,21,3.0,0.011144463765677886,10.0,0.01,
1,1,1,Soft Monotonic + L2,27,"{""l2"": 10.0, ""soft_penalty"": 0.1}",0.7295238095238095,10,21,2.0,0.007831532826735243,10.0,0.1,
1,1,2,Soft Monotonic + L2,27,"{""l2"": 10.0, ""soft_penalty"": 0.1}",0.5305555555555556,10,21,3.0,0.012589495348256279,10.0,0.1,
1,1,3,Soft Monotonic + L2,27,"{""l2"": 10.0, ""soft_penalty"": 0.1}",0.7611111111111111,10,21,1.0,0.010445986547163928,10.0,0.1,
1,1,4,Soft Monotonic + L2,27,"{""l2"": 10.0, ""soft_penalty"": 0.1}",0.7544444444444445,10,21,3.0,0.005249710083757453,10.0,0.1,
1,1,5,Soft Monotonic + L2,27,"{""l2"": 10.0, ""soft_penalty"": 0.1}",0.7470238095238095,9,21,3.0,0.011047486309616245,10.0,0.1,
1,1,1,Soft Monotonic + L2,28,"{""l2"": 10.0, ""soft_penalty"": 1.0}",0.7295238095238095,9,21,2.0,0.007205444722328731,10.0,1.0,
1,1,2,Soft Monotonic + L2,28,"{""l2"": 10.0, ""soft_penalty"": 1.0}",0.5305555555555556,10,21,3.0,0.011582324605067883,10.0,1.0,
1,1,3,Soft Monotonic + L2,28,"{""l2"": 10.0, ""soft_penalty"": 1.0}",0.7611111111111111,10,21,1.0,0.00960973634308392,10.0,1.0,
1,1,4,Soft Monotonic + L2,28,"{""l2"": 10.0, ""soft_penalty"": 1.0}",0.7544444444444445,9,21,3.0,0.004831522493674582,10.0,1.0,
1,1,5,Soft Monotonic + L2,28,"{""l2"": 10.0, ""soft_penalty"": 1.0}",0.7470238095238095,9,21,3.0,0.010163107921775235,10.0,1.0,
1,1,1,Soft Monotonic + L2,29,"{""l2"": 10.0, ""soft_penalty"": 10.0}",0.7295238095238095,11,21,2.0,0.0040042903639343885,10.0,10.0,
