Monotonic,L2,Elastic Net,SVM,Inner-selected
0.7421228350346442,0.7443000047648776,0.7230795779448356,0.725663238572812,0.7307124260102469
0.7153721196793862,0.7147825156103422,0.6956145984475117,0.6449680278161859,0.6872193261757191
0.6556357781242044,0.6467697872858382,0.6378739577523596,0.6004922027580917,0.6308228764436499
0.7667102094019563,0.7725873678806024,0.7514364640133849,0.7035395095149759,0.7553511606490018
0.7329347949698524,0.7298652252757758,0.6764446939874111,0.6448440283682925,0.7027464609519669
0.5591823157351518,0.5566645985317206,0.5311565771879848,0.5069357059139651,0.5392322409927454
0.7345302477856943,0.738302222368012,0.7092793045855623,0.6817571157092247,0.7161738583016066
0.7358197016169613,0.7366234633508696,0.7023087058942978,0.674565461691589,0.714013186722693
0.7241727806507217,0.728696846209346,0.7094840419332716,0.658715477900835,0.7059270658425243
0.7015903580340209,0.6994315444841662,0.6985328415564143,0.661847567003647,0.6875866924097944
0.6818928998392441,0.6815154785283091,0.6577017640746283,0.6455143591904923,0.6608104583015952
0.6244336488227771,0.6277268786175574,0.6164517344514995,0.5532413086073387,0.6072545587765431
0.6725460752560546,0.6752813477527764,0.6775438907653196,0.5920340650129515,0.6633427588634523
0.6983762961207942,0.7040297133407818,0.6827698243518225,0.6700959148779674,0.6785044752978685
0.745783532258035,0.7534119825823639,0.7522862677583184,0.7279543393966489,0.7429878352592851
0.7585824341805112,0.7656370284972454,0.7342135016950501,0.7191218142075937,0.7390833097447869
0.5889933575323558,0.5898637704887704,0.5796674645061479,0.5311077184797774,0.578920306789137
0.7663263054521482,0.7691207264289049,0.7769501928454643,0.7329162020285331,0.7652879845926495
0.5771271312671798,0.5775663763388027,0.5456942104600192,0.5277417136374649,0.5535291470151018
0.6418746467332077,0.6439540058543763,0.6308240443419015,0.6239745494894683,0.6316734818461184
0.6557289877929932,0.6589578752920487,0.6595544882716102,0.6128332636473393,0.6492388087920999
0.652838963002587,0.6615828346032869,0.6406463635671352,0.6091332705922105,0.6447737861997195
0.7203690937063696,0.7298712568534206,0.6914272121837086,0.6722387419151332,0.7007759056203963
0.5924531608847142,0.6037836044676667,0.5666966527480208,0.5750995932625491,0.5769844643919534
0.7174849355919319,0.7221595937541446,0.724176778503492,0.6830737390596038,0.7098845459608617
0.7742666692154091,0.7835217466347595,0.7848444574036811,0.721961684671266,0.772562328285318
0.674406247791316,0.6733902149663559,0.6652843038082947,0.6195853567665071,0.6647607276332534
0.764939638581956,0.7685533218408074,0.7428072125599786,0.7142342364715143,0.7512740702891116
0.6315722040915669,0.6202511097632134,0.6081574421636511,0.557501878317709,0.6125071255303394
0.724226658483429,0.7319052073991105,0.69712227813248,0.659481678078278,0.7094830442312975
0.7932985277444312,0.798764078265339,0.7478950333791893,0.7318678731807409,0.7565001565939765
0.7059266327226202,0.710908059860297,0.7115492775805943,0.62946078037962,0.7039121319027278
0.7544598601904129,0.7606804640144574,0.740896424947758,0.7111334339580812,0.7440694041340761
0.7623623154513038,0.7646843825626836,0.7353032627049783,0.7016225792424293,0.7340732459074021
0.6739485499125084,0.6833090974431116,0.654637959222798,0.6240739843481319,0.6562517427783487
0.7720338843600453,0.7767402776841152,0.7774136802671118,0.7639802606401707,0.7712654100978682
0.6851587401959973,0.685071521977793,0.6514537678995124,0.653741554681105,0.6613021126557747
0.6962649972477055,0.6977506054039476,0.6826980365899734,0.6386705932265841,0.6717065265881921
0.8018370034011602,0.7998361075008418,0.795778403415382,0.7533759138979162,0.7891908836820296
0.7863616477356127,0.7874507608107814,0.7717665914016034,0.7302334987941117,0.7724054073105914
0.7028006971427762,0.7065740475547899,0.6656469958194869,0.6439555805648097,0.6753163787954176
0.7999685818169538,0.8091825400789687,0.745509651593533,0.7210262600060743,0.7631822616515423
0.806361519337551,0.8023588539482409,0.7827667673898643,0.7567285483746654,0.7820213939681399
0.6990769327261229,0.7046172319324407,0.6758396814902095,0.657007659000397,0.6806815002191937
0.820881335427613,0.8291610738569137,0.8075346954524285,0.7764192022442911,0.8097079617444176
0.7233706319383489,0.7073263309351198,0.6763256757747128,0.6652713146214194,0.6912520761283014
0.6851766590616062,0.6851701690557981,0.6590540625848218,0.6468717963687679,0.6665833107857368
0.7417957103890629,0.7442619354824415,0.7051315768194466,0.706605401757651,0.7207985015665163
0.784381465166769,0.7860611537807536,0.7543042934548204,0.7056272590519204,0.7516964170348863
0.7845965182948695,0.7813622782183678,0.782453222783192,0.7309262187728466,0.7718045816538709
0.7032875699050862,0.7034368497690366,0.6781321934247291,0.6605321119997921,0.6903304943692516
0.624428910119181,0.6159993700021756,0.5861323216804615,0.5922923043066722,0.602022282233086
0.8237634770587354,0.8296152597644497,0.8115873970218302,0.789340034600467,0.8198077103386829
0.6532102612822279,0.6513687087104684,0.6555886495796137,0.6223119320257596,0.6518767124729087
0.7204063026162292,0.7283146296708272,0.7127414857313445,0.6823048308995964,0.7012453903401558
0.6771188467247303,0.685141236453738,0.6918715287033751,0.6334754697309786,0.6746524973774286
0.7082501078874944,0.7117360132785293,0.7036113401760196,0.660925847533904,0.7018551803388158
0.725902388049466,0.7252458649540139,0.7122252576164633,0.6744443532440183,0.712414780030642
0.6634803366711262,0.6705168280732424,0.6493870630875137,0.6092952885696662,0.6368941164557264
0.5769137937980716,0.5797800123147883,0.5636178035837286,0.5428497244426171,0.5601156324531229
0.6657273272537452,0.6843071384478421,0.6288656253799112,0.5978794261022204,0.6432206780497746
0.6833032082131099,0.6812231661211628,0.6736922249222145,0.6371738933641786,0.6741793416270251
0.6890424238327358,0.6825722110718592,0.6799384245668633,0.6488334172167098,0.6758381630645811
0.6467083067500915,0.6367645324079275,0.6443231434951698,0.6244429533536586,0.6345746116591309
0.6706858513942344,0.6724713928477166,0.6714621971785864,0.6125530144699752,0.6630400561329464
0.76831988769705,0.7586338902929866,0.7681771609063989,0.726835358476278,0.7560738746964863
0.6092214681687005,0.6184030631389861,0.586124908597758,0.5529562546754787,0.5931966682681653
